(epoch#1) auroc: 0.6387604709973131, lr: 9.999999747378752e-05
(epoch#2) auroc: 0.7142603129445235, lr: 9.999999747378752e-06
(epoch#1) auroc: 0.6901375059269796, lr: 9.999999747378752e-05
(epoch#1) auroc: 0.7425517622886044, lr: 9.999999747378752e-05
(epoch#2) auroc: 0.8146633475580843, lr: 9.999999747378752e-06
(epoch#3) auroc: 0.8154042200094832, lr: 9.999999974752427e-07
(epoch#5) auroc: 0.8165204678362572, lr: 9.99999993922529e-09
(epoch#7) auroc: 0.8301722775406986, lr: 9.99999993922529e-09
(epoch#1) auroc: 0.9958708708708708, lr: 9.999999747378752e-05
(epoch#2) auroc: 0.9995653548285127, lr: 9.999999747378752e-05
(epoch#3) auroc: 0.9998221906116643, lr: 9.999999747378752e-05
(epoch#4) auroc: 1.0, lr: 9.999999747378752e-05
(epoch#3) auroc: 1.0, lr: 9.999999747378752e-05
(epoch#4) auroc: 1.0, lr: 9.999999747378752e-05
